timestamp,cross_track_error,current_velocity,goal_velocity,x_m,y_m
1738701130.335715,1.1471528753208244,-0.0004,3.0,0.0,0.0
1738701130.345744,1.1471528753208244,-0.0004,3.0,0.0,0.0
1738701130.354982,1.4653507364131784,-0.0001,3.0,0.26527332697344264,-0.2372065023578216
1738701130.4502223,1.495131006388597,-0.0001,3.0,0.2827374318710554,-0.25750757904540933
1738701130.55113,1.5025844142058613,-0.0001,3.0,0.2867760730697455,-0.26224525902637197
1738701130.646083,1.4994177765087007,-0.0001,3.0,0.28635829822610503,-0.260436321943871
1738701130.655323,1.4989436994595897,-0.0001,3.0,0.2860226615277952,-0.2600932390730577
1738701130.7405565,1.494222549422001,-0.0001,3.0,0.2820095662806352,-0.2565968770931022
1738701130.8401942,1.4883198006589142,-0.0001,3.0,0.27534046556968406,-0.2518271305938242
1738701130.9387558,1.4885982200903283,-0.0001,3.0,0.27329009837103513,-0.2515101167001603
1738701130.9478137,1.4885982200903283,-0.0001,3.0,0.27329009837103513,-0.2515101167001603
1738701131.0388007,1.4874744358483138,-0.0001,3.0,0.27268996134864665,-0.25074908230749315
1738701131.1429064,1.4899211678309856,-0.0001,3.0,0.2749482364395135,-0.2525629003366703
1738701131.1566164,1.4899211678309856,-0.0001,3.0,0.2749482364395135,-0.2525629003366703
1738701131.2520177,1.4899211678309856,-0.0001,3.0,0.2749482364395135,-0.2525629003366703
1738701131.3512824,1.4862728519893529,0.1245,3.0,0.2714495978857485,-0.24974182790640498
1738701131.4496658,1.4854094362994246,0.1245,3.0,0.2708494611011929,-0.24913413251920247
1738701131.460021,1.4854094362994246,0.1245,3.0,0.2708494611011929,-0.24913413251920247
1738701131.5636003,1.4847797800416747,0.0136,3.0,0.2698370502397438,-0.2490595955371191
1738701131.5785673,1.4847797800416747,0.0136,3.0,0.2698370502397438,-0.2490595955371191
1738701131.670092,1.5890754167784369,-0.0481,3.0,0.35974666337551753,-0.32869246370978544
1738701131.6794095,1.5992619255094764,-0.0481,3.0,0.3686850409487761,-0.3363567323498273
1738701131.6893008,1.6104052772901143,-0.0481,3.0,0.37795905522034445,-0.3445174234444721
1738701131.6981478,1.6221300794937965,-0.0481,3.0,0.38754316046379245,-0.35292992846655125
1738701131.7886379,1.7604398453999155,-0.0353,3.0,0.49028443018312373,-0.4482701532064084
1738701131.8875203,1.9619416807281063,-0.0353,3.0,0.6377871424076602,-0.58619246281296
1738701131.896255,1.9895450850083976,-0.0353,3.0,0.6528051090307372,-0.6053022772604209
1738701131.9046755,2.0130542597621615,-0.0353,3.0,0.6690783594689265,-0.6215239283123992
1738701131.9128659,2.0374870320263367,-0.0353,3.0,0.6861706568183763,-0.6380173250140615
1738701132.0074084,2.298769244423311,-0.0353,3.0,0.8563335864853343,-0.8110852950284198
1738701132.015949,2.330064487647308,-0.0353,3.0,0.8762732937138935,-0.8317562886493306
1738701132.1093328,2.6416375142391817,-0.0353,3.0,1.0689733840935105,-1.0355491061085331
1738701132.1181026,2.6792047342487924,-0.0353,3.0,1.0906714531988655,-1.059435991939381
1738701132.207607,3.0129728904552135,-0.0353,3.0,1.2795785639957558,-1.2775943708164732
1738701132.2158563,3.051038201620025,-0.0353,3.0,1.3011999959604736,-1.3018974775230845
1738701132.2245526,3.0890402842080893,-0.0353,3.0,1.3227392897669006,-1.3267281487920854
1738701132.3172626,3.4308987909554407,-0.0353,3.0,1.5164361169222502,-1.5437530353985949
1738701132.3265188,3.4672812428549973,-0.0353,3.0,1.536413954509726,-1.5670106341898418
1738701132.33598,3.50248097587681,-0.0353,3.0,1.5557150179467953,-1.5901534285802654
1738701132.4232352,3.801476782540273,-0.0353,3.0,1.7170189951425527,-1.7806569979609321
1738701132.4317515,3.8337940290482324,-0.0353,3.0,1.7331550974272432,-1.801049746371632
1738701132.531403,4.080608678882197,-0.0353,3.0,1.8627764575720676,-1.9573605973354233
1738701132.6290112,4.266861792481261,-0.0353,3.0,1.9599235833709372,-2.073892053846066
1738701132.728301,4.387614920812805,1.9354,3.0,2.011760597942498,-2.14872713099237
1738701132.7380602,4.393777612333543,1.9354,3.0,2.014175689498643,-2.1526985838901282
1738701132.8304968,4.407303344385319,1.9354,3.0,2.025682433147722,-2.1638085426226326
1738701132.933524,4.416130695776976,1.9354,3.0,2.017347734066675,-2.1644955820935365
1738701133.0294797,4.3900183913325135,1.9354,3.0,2.0003564140337176,-2.1522503280280034
1738701133.133761,4.395915667043445,3.2122,3.0,2.011227678951059,-2.1906656198419796
1738701133.2243924,4.398348479750738,3.2122,3.0,2.0585984058651547,-2.2544456495608074
1738701133.234432,4.398342907313821,3.2122,3.0,2.066635598606922,-2.2624424059703188
1738701133.3297596,4.40632776468925,3.2122,3.0,2.14939511214493,-2.3507716324071453
1738701133.429247,4.373104351097642,3.2122,3.0,2.2750661485931687,-2.4689014346083695
1738701133.5323067,4.279860797509438,3.2122,3.0,2.4442908175935827,-2.5918909939033483
1738701133.6285481,4.1174205524395875,3.2122,3.0,2.652002016802271,-2.7184177431837497
1738701133.6385567,4.1060410321609275,3.2122,3.0,2.6783467012908204,-2.730797467298544
1738701133.6481256,4.095511751259617,3.2122,3.0,2.701502837972157,-2.742601351030089
1738701133.6577652,4.08431160572205,3.2122,3.0,2.7246900211338243,-2.754001811798844
1738701133.7481952,3.8697007056383876,3.2122,3.0,2.9510792384674005,-2.8503524656284753
1738701133.757113,3.8571033128670633,3.2122,3.0,2.9777178873366665,-2.860488717741646
1738701133.765751,3.8434614597672976,3.2122,3.0,3.004600991821121,-2.8705336299364035
