timestamp,cross_track_error,current_velocity,goal_velocity,x_m,y_m
1739219907.281888478,0.040098583131541146,3.2686,3,-908.9401556241986,791.9632006492957
1739219907.302996051,0.0325741710883001,3.13,3,-908.8658868722225,791.9020114967607
1739219907.321571676,0.0299093234354808,3.1546,3,-908.8416000154593,791.8817524783377
1739219907.335599303,0.018887239565754953,3.1981,3,-908.7711804593129,791.8189886945642
1739219907.358865845,0.01478130038981499,3.1489,3,-908.7477346532418,791.7975593420798
1739219907.378026590,0.0065058853508051205,3.0987,3,-908.7016911754192,791.7552169430602
1739219907.401848394,-0.002791629117969834,3.142,3,-908.656113022398,791.7119526123936
1739219907.419714315,-0.014069529446623262,3.0525,3,-908.5854435096443,791.648701481438
1739219907.442155403,-0.0201367754114295,3.0413,3,-908.5644202554181,791.6265740907211
1739219907.454854989,-0.04004447789984265,3.1009,3,-908.5020512294915,791.5586000112224
1739219907.468523172,-0.046714227652030885,3.0911,3,-908.4810955696937,791.5357844421301
1739219907.481079038,-0.053203334153898385,3.0515,3,-908.4602055455031,791.5132353562545
1739219907.494605678,-0.05979503510003407,3.0155,3,-908.4396767032613,791.4908139434679
1739219907.510939514,-0.0780957799236221,3.0137,3,-908.3980958957693,791.4393577707131
1739219907.526038817,-0.0922205797508959,3.0383,3,-908.3579048079166,791.3939725699331
1739219907.540092367,-0.0985212449921103,3.0598,3,-908.337014783488,791.3716534943682
1739219907.566120886,-0.10457014523347118,3.0736,3,-908.3158347127967,791.3494385570891
1739219907.580171491,-0.12573370643131318,2.9788,3,-908.2560065481732,791.2817100541863
1739219907.593966177,-0.13949803374928663,2.9518,3,-908.2165268231348,791.237262903753
1739219907.610554395,-0.14554038538572336,2.9802,3,-908.1961402531781,791.2156117927773
1739219907.633090240,-0.15080425519297536,2.9961,3,-908.17495468172,791.1943515667717
1739219907.652801512,-0.15346243501634638,2.9654,3,-908.1046055082013,791.1418484074886
1739219907.666483936,-0.16224874546756418,2.993,3,-908.0612199949015,791.1007447704621
1739219907.683237060,-0.16666149651989648,3.0014,3,-908.0394232846496,791.0800962439318
1739219907.709002140,-0.17375012768293396,2.9492,3,-907.9948921306778,791.0402598044072
1739219907.739525277,-0.18109907046888782,2.8871,3,-907.9279071601394,790.9843786984935
1739219907.754988600,-0.18552206649639516,2.9816,3,-907.882239408446,790.947001451965
1739219907.786463310,-0.188755826129371,2.9209,3,-907.8357160623563,790.9104805848687
1739219907.802033743,-0.2013866243936453,2.9049,3,-907.7744007427227,790.8521370877327
1739219907.816196579,-0.20274154870898445,2.9146,3,-907.7512740705738,790.8342983027687
1739219907.830588355,-0.20387915137981305,2.901,3,-907.7281674426708,790.8167388007664
1739219907.848182421,-0.20494108859839313,2.8675,3,-907.6814633170511,790.7827571379694
1739219907.884042110,-0.20196435428623766,2.9253,3,-907.6084196313125,790.7352035559493
1739219907.894812597,-0.20826153800887895,2.8818,3,-907.5414492047163,790.6804031037901
1739219907.908423913,-0.20803751345960547,2.8733,3,-907.5176948903093,790.6639700661871
1739219907.927617940,-0.2051302592260827,2.9236,3,-907.4685572108482,790.6329025449478
1739219907.943936543,-0.20257261896697856,2.9271,3,-907.443265026877,790.6181657944868
1739219907.957753664,-0.19579545642890997,2.8935,3,-907.4044102308284,790.5990137071208
1739219907.972378476,-0.19402461056227516,2.9058,3,-907.3797036399375,790.5837273279226
1739219907.987182179,-0.19263458064013692,2.905,3,-907.3551247778397,790.5680539267083
1739219908.2678145,-0.18898923465251816,2.8508,3,-907.3060527339859,790.5377129077937
1739219908.14118174,-0.1833900556636799,2.851,3,-907.2565554545239,790.5094657447368
1739219908.26370153,-0.17968429498305977,2.9013,3,-907.2310078131788,790.4958863882786
1739219908.43602377,-0.17119631727338747,2.9669,3,-907.194790560058,790.4805230954502
1739219908.57689402,-0.16235328803849713,2.8964,3,-907.1422195005395,790.4539471449018
1739219908.69057939,-0.15843784925619364,2.8585,3,-907.1166408124761,790.440541201538
1739219908.81581293,-0.15095335421293232,2.919,3,-907.0656622561196,790.4133714918966
1739219908.99285096,-0.14688321404140323,2.9691,3,-907.0394433413782,790.3996426593106
1739219908.114146948,-0.1425342634147014,2.9783,3,-907.0129799707962,790.3860818367535
1739219908.125307346,-0.1337348771733207,2.8907,3,-906.9604890905892,790.3593962952107
1739219908.138266660,-0.1293240211225677,2.8872,3,-906.9345893095448,790.3462679032274
1739219908.152483260,-0.12462288857398839,2.9391,3,-906.9083794375158,790.333271047606
1739219908.169056439,-0.10535929644248636,3.0426,3,-906.8476226582194,790.313435089878
1739219908.180733346,-0.09583967654798699,2.9901,3,-906.7934991856573,790.286324723515
1739219908.191954067,-0.0913472856997551,2.942,3,-906.7669992675904,790.2728186468122
1739219908.205485733,-0.08675427138592907,2.9311,3,-906.7406927134738,790.2595753805497
1739219908.223287461,-0.08190745380993943,2.9739,3,-906.7140961133192,790.2464362529685
1739219908.242790436,-0.07680819572424422,3.0259,3,-906.6869705125164,790.2332279209759
1739219908.255691442,-0.05846293910238585,2.944,3,-906.6034934572702,790.1957372497659
1739219908.275182064,-0.05333887083140013,2.9473,3,-906.5769114010579,790.1829120765927
1739219908.290921629,-0.04447238582649199,3.0004,3,-906.5237747934059,790.1555549681409
1739219908.309883966,-0.04040272867247632,3.0207,3,-906.4971436043623,790.1413625848428
1739219908.328336098,-0.0253471373905203,2.9995,3,-906.4158414805113,790.1012793199243
1739219908.346307532,-0.014596167895844801,3.0272,3,-906.3611104104128,790.0750106132324
